iter	Passed	Remaining
0	5	1585
1	10	1546
2	15	1531
3	20	1525
4	25	1514
5	30	1505
6	35	1498
7	40	1492
8	45	1485
9	50	1478
10	56	1472
11	61	1465
12	66	1461
13	71	1454
14	76	1449
15	81	1442
16	86	1438
17	91	1432
18	96	1427
19	101	1421
20	106	1417
21	111	1412
22	116	1408
23	122	1403
24	127	1398
25	132	1396
26	138	1396
27	143	1392
28	148	1388
29	153	1384
30	159	1381
31	164	1379
32	170	1375
33	176	1378
34	181	1374
35	188	1383
36	194	1383
37	200	1379
38	205	1374
39	210	1367
40	215	1360
41	220	1354
42	225	1349
43	230	1343
44	235	1337
45	240	1330
46	246	1324
47	251	1318
48	256	1312
49	261	1305
50	266	1299
51	271	1293
52	276	1287
53	281	1282
54	286	1276
55	291	1270
56	296	1265
57	301	1259
58	306	1253
59	311	1247
60	316	1241
61	321	1235
62	326	1230
63	331	1224
64	337	1218
65	342	1212
66	347	1207
67	352	1201
68	357	1195
69	362	1190
70	367	1184
71	372	1179
72	377	1173
73	382	1167
74	387	1162
75	392	1157
76	397	1151
77	402	1145
78	407	1140
79	412	1135
80	417	1129
81	422	1124
82	428	1118
83	433	1113
84	438	1108
85	443	1102
86	448	1097
87	453	1091
88	458	1086
89	463	1080
90	468	1075
91	473	1070
92	478	1064
93	483	1059
94	488	1053
95	493	1048
96	498	1043
97	503	1037
98	508	1032
99	513	1026
100	518	1021
101	523	1016
102	528	1010
103	533	1005
104	538	999
105	543	994
106	548	989
107	553	983
108	558	978
109	563	973
110	568	967
111	573	962
112	578	957
113	583	952
114	588	946
115	593	941
116	598	936
117	603	931
118	608	926
119	614	921
120	619	915
121	624	910
122	629	905
123	634	900
124	639	895
125	644	889
126	649	884
127	654	879
128	661	876
129	667	872
130	673	868
131	678	863
132	683	858
133	692	857
134	697	852
135	704	849
136	709	844
137	716	841
138	722	837
139	728	833
140	734	828
141	739	823
142	744	817
143	749	812
144	756	808
145	763	805
146	769	800
147	775	796
148	783	793
149	789	789
150	794	784
151	799	778
152	804	773
153	809	767
154	814	762
155	819	756
156	824	751
157	829	745
158	835	740
159	840	735
160	845	729
161	850	724
162	855	718
163	860	713
164	865	707
165	870	702
166	875	697
167	880	691
168	885	686
169	890	680
170	895	675
171	900	670
172	905	664
173	910	659
174	915	653
175	920	648
176	925	643
177	930	637
178	935	632
179	940	627
180	945	621
181	950	616
182	955	611
183	960	605
184	965	600
185	970	594
186	975	589
187	980	584
188	985	578
189	990	573
190	995	568
191	1000	562
192	1005	557
193	1010	552
194	1015	546
195	1020	541
196	1025	536
197	1030	530
198	1035	525
199	1040	520
200	1045	514
201	1050	509
202	1055	504
203	1060	499
204	1065	493
205	1070	488
206	1075	483
207	1080	477
208	1085	472
209	1090	467
210	1095	462
211	1100	456
212	1105	451
213	1110	446
214	1115	440
215	1120	435
216	1125	430
217	1132	425
218	1137	420
219	1142	415
220	1147	410
221	1154	405
222	1160	400
223	1165	395
224	1171	390
225	1177	385
226	1183	380
227	1190	376
228	1196	370
229	1201	365
230	1206	360
231	1211	355
232	1216	349
233	1221	344
234	1226	339
235	1231	334
236	1236	328
237	1241	323
238	1247	318
239	1252	313
240	1257	307
241	1262	302
242	1267	297
243	1272	292
244	1277	286
245	1282	281
246	1287	276
247	1292	270
248	1297	265
249	1302	260
250	1307	255
251	1312	249
252	1317	244
253	1322	239
254	1327	234
255	1332	229
256	1337	223
257	1342	218
258	1347	213
259	1352	208
260	1357	202
261	1362	197
262	1367	192
263	1372	187
264	1378	182
265	1383	176
266	1388	171
267	1393	166
268	1398	161
269	1403	155
270	1408	150
271	1413	145
272	1418	140
273	1423	135
274	1428	129
275	1433	124
276	1438	119
277	1443	114
278	1448	109
279	1453	103
280	1458	98
281	1463	93
282	1468	88
283	1473	83
284	1479	77
285	1484	72
286	1489	67
287	1494	62
288	1499	57
289	1504	51
290	1509	46
291	1514	41
292	1519	36
293	1524	31
294	1529	25
295	1534	20
296	1539	15
297	1544	10
298	1550	5
299	1555	0
