feature,importance,importance_pct,cumulative_pct
ret_zscore_60m,422.0,7.44,7.44
ret_zscore_5m,408.0,7.2,14.64
ret_zscore_30m,391.0,6.9,21.54
ret_zscore_15m,324.0,5.71,27.25
ret_zscore_10m,299.0,5.27,32.52
vol_15m,240.0,4.23,36.75
vol_over_vol_60m,195.0,3.44,40.19
_hour,146.0,2.57,42.76
_day,130.0,2.29,45.05
volume_ratio_20d,129.0,2.28,47.33
negative_volume_index,128.0,2.26,49.59
vol_60m,127.0,2.24,51.83
vol_over_vol_15m,117.0,2.06,53.89
mass_index,80.0,1.41,55.3
price_volume_trend,79.0,1.39,56.69
volume_volatility_20d,74.0,1.31,58.0
yz_vol_20,73.0,1.29,59.29
ret_60m,70.0,1.23,60.52
keltner_upper,69.0,1.22,61.74
ret_ord_60m,63.0,1.11,62.85
adx_14,62.0,1.09,63.94
obv,57.0,1.01,64.95
rs_vol_5,57.0,1.01,65.96
mfi_21,53.0,0.93,66.89
obv_ema,53.0,0.93,67.82
volume_ratio_5d,53.0,0.93,68.75
volume_momentum_20d,52.0,0.92,69.67
cmf,51.0,0.9,70.57
vol_x_ret_60m,50.0,0.88,71.45
bb_width_20,50.0,0.88,72.33
rs_vol_20,49.0,0.86,73.19
vol_over_vol_5m,48.0,0.85,74.04
close,47.0,0.83,74.87
market_facilitation_index,46.0,0.81,75.68
ret_ord_30m,46.0,0.81,76.49
volume_sma_20,45.0,0.79,77.28
low,44.0,0.78,78.06
volume_ema_5,42.0,0.74,78.8
gk_vol_10,41.0,0.72,79.52
rsi_30,41.0,0.72,80.24
macd,40.0,0.71,80.95
macd_hist,39.0,0.69,81.64
vol_x_mom_20d,38.0,0.67,82.31
ret2_15m,38.0,0.67,82.98
volume_kurt_20d,37.0,0.65,83.63
volume_skew_20d,37.0,0.65,84.28
awesome_oscillator,35.0,0.62,84.9
parkinson_vol_5,34.0,0.6,85.5
yz_vol_10,34.0,0.6,86.1
volume_quantile_20d,34.0,0.6,86.7
rs_vol_10,33.0,0.58,87.28
open,32.0,0.56,87.84
adx_x_vol,31.0,0.55,88.39
returns_20d,30.0,0.53,88.92
volume_momentum_5d,28.0,0.49,89.41
ret_ord_10m,26.0,0.46,89.87
ret_ord_5m,26.0,0.46,90.33
cci_14,25.0,0.44,90.77
open_vol_frac,25.0,0.44,91.21
mfi_14,25.0,0.44,91.65
cci_x_vol,24.0,0.42,92.07
ease_of_movement,23.0,0.41,92.48
trade_size_vol,23.0,0.41,92.89
rsi_10,22.0,0.39,93.28
turnover_20,20.0,0.35,93.63
mom_10d,20.0,0.35,93.98
bb_x_vol,20.0,0.35,94.33
cci_10,20.0,0.35,94.68
stoch_d_5,20.0,0.35,95.03
stoch_k_14,19.0,0.34,95.37
macd_x_ret,18.0,0.32,95.69
volume,18.0,0.32,96.01
mom_3d,15.0,0.26,96.27
vol_5m,15.0,0.26,96.53
turnover_5,14.0,0.25,96.78
stoch_d_14,14.0,0.25,97.03
rsi_7,13.0,0.23,97.26
ret_15m,12.0,0.21,97.47
stoch_k_5,12.0,0.21,97.68
stoch_k_21,11.0,0.19,97.87
momentum_x_volatility,11.0,0.19,98.06
williams_accumulation,11.0,0.19,98.25
vwap_dev,11.0,0.19,98.44
order_flow_imbalance,10.0,0.18,98.62
williams_r_7,10.0,0.18,98.8
open_loc_1d,9.0,0.16,98.96
close_loc_1d,9.0,0.16,99.12
ret_oc,9.0,0.16,99.28
wd_2,9.0,0.16,99.44
fractal_low,8.0,0.14,99.58
vol_x_ret_5m,8.0,0.14,99.72
price_impact,8.0,0.14,99.86
fractal_high,4.0,0.07,99.93
volume_price_trend,2.0,0.04,99.97
