feature,importance,importance_pct,cumulative_pct
ret_zscore_60m,0.11681159864609819,11.68,11.68
ret_ord_60m,0.10234699802361952,10.23,21.91
ret_zscore_30m,0.0957539158962661,9.58,31.49
ret_ord_30m,0.09430867815068059,9.43,40.92
ret_zscore_5m,0.08973211983175845,8.97,49.89
ret_zscore_10m,0.08092975336744479,8.09,57.98
ret_zscore_15m,0.079549485229707,7.95,65.93
ret_ord_5m,0.06725064597277969,6.73,72.66
ret_ord_10m,0.06704657655543278,6.7,79.36
vol_over_vol_60m,0.016054016594562143,1.61,80.97
vol_over_vol_15m,0.011574651083242857,1.16,82.13
volume_ratio_20d,0.011332882772590617,1.13,83.26
vol_15m,0.010634870165252669,1.06,84.32
mass_index,0.007847429524106928,0.78,85.1
volume_momentum_20d,0.0070919197052507175,0.71,85.81
_hour,0.007024499998866059,0.7,86.51
yz_vol_20,0.0047528896393259105,0.48,86.99
yz_vol_10,0.004607466404110042,0.46,87.45
gk_vol_10,0.0036327990088465744,0.36,87.81
volume_volatility_20d,0.003544628040775804,0.35,88.16
volume_ratio_5d,0.0035055394948843603,0.35,88.51
ret2_15m,0.003386561964042378,0.34,88.85
rs_vol_10,0.0029208347404720597,0.29,89.14
vol_60m,0.0029029395031203264,0.29,89.43
parkinson_vol_5,0.002762211561109148,0.28,89.71
bb_width_20,0.002758886479697177,0.28,89.99
rs_vol_5,0.0026157770303673945,0.26,90.25
vol_5m,0.0025422590855392374,0.25,90.5
rs_vol_20,0.0023769133519170194,0.24,90.74
volume_kurt_20d,0.0022994389914647883,0.23,90.97
negative_volume_index,0.002290206975966105,0.23,91.2
obv_ema,0.0021919148683219093,0.22,91.42
obv,0.0021779939517409834,0.22,91.64
bb_x_vol,0.0021663147520104304,0.22,91.86
turnover_20,0.002092118942454469,0.21,92.07
vol_over_vol_5m,0.002063642565976531,0.21,92.28
price_volume_trend,0.002034355460337716,0.2,92.48
volume_skew_20d,0.001969097756721269,0.2,92.68
ret_15m,0.0017839620819659224,0.18,92.86
keltner_upper,0.0017742019749087056,0.18,93.04
ret_60m,0.0017144319293502417,0.17,93.21
volume_quantile_20d,0.0017042521494285668,0.17,93.38
close,0.0016927889315908788,0.17,93.55
trade_size_vol,0.00168855002600892,0.17,93.72
adx_14,0.0016662538485815422,0.17,93.89
open,0.0016580885260029509,0.17,94.06
volume_sma_20,0.001654497162448405,0.17,94.23
low,0.0016484873158255926,0.16,94.39
awesome_oscillator,0.0016461328936945984,0.16,94.55
cmf,0.0016418653342009327,0.16,94.71
adx_x_vol,0.0016299852687652395,0.16,94.87
macd,0.0016192812313218015,0.16,95.03
volume_ema_5,0.0015841223825222553,0.16,95.19
vol_x_ret_60m,0.0015451475950818958,0.15,95.34
volume_momentum_5d,0.0014868212570859104,0.15,95.49
returns_20d,0.0014827189254612266,0.15,95.64
rsi_30,0.001470431831584178,0.15,95.79
volume,0.0014502881612177482,0.15,95.94
macd_hist,0.0014424559241112103,0.14,96.08
open_vol_frac,0.0014418475297495307,0.14,96.22
_day,0.001429636028199318,0.14,96.36
mom_10d,0.0014135511833289296,0.14,96.5
turnover_5,0.0013902051891492375,0.14,96.64
market_facilitation_index,0.001388450014804171,0.14,96.78
mfi_14,0.0013798497443190982,0.14,96.92
vol_x_mom_20d,0.0013795193839393138,0.14,97.06
macd_x_ret,0.0013738623771194336,0.14,97.2
mfi_21,0.0013483424203190534,0.13,97.33
momentum_x_volatility,0.0012721847728782909,0.13,97.46
price_impact,0.0012233318053725146,0.12,97.58
cci_14,0.0012097107409510678,0.12,97.7
rsi_10,0.0011858877198913968,0.12,97.82
cci_x_vol,0.001174760915393763,0.12,97.94
vol_x_ret_5m,0.0011683408415977684,0.12,98.06
stoch_d_14,0.0011645741141777617,0.12,98.18
cci_10,0.0011632140961998676,0.12,98.3
ease_of_movement,0.0011608495455028428,0.12,98.42
rsi_7,0.0011562811865509742,0.12,98.54
mom_3d,0.0011559149883329366,0.12,98.66
stoch_k_5,0.0011335604305522337,0.11,98.77
stoch_k_21,0.0011198295460874775,0.11,98.88
stoch_d_5,0.0011167140392536632,0.11,98.99
close_loc_1d,0.0011111802375566985,0.11,99.1
open_loc_1d,0.001108204489485263,0.11,99.21
williams_accumulation,0.001091980926259397,0.11,99.32
volume_price_trend,0.0010678363367936827,0.11,99.43
williams_r_7,0.0010664139100218285,0.11,99.54
vwap_dev,0.0010625260399711436,0.11,99.65
order_flow_imbalance,0.0010406875674685515,0.1,99.75
stoch_k_14,0.001024868762943169,0.1,99.85
ret_oc,0.000986377549850645,0.1,99.95
fractal_low,0.00024300995207578592,0.02,99.97
fractal_high,0.0002202681252678688,0.02,99.99
wd_2,0.00015663065061580133,0.02,100.01
