feature,importance,importance_pct,cumulative_pct
ret_ord_30m,0.29951485991477966,29.95,29.95
ret_zscore_30m,0.09656886011362076,9.66,39.61
ret_zscore_60m,0.08819562941789627,8.82,48.43
ret_ord_60m,0.06961266696453094,6.96,55.39
ret_zscore_5m,0.06585846096277237,6.59,61.98
ret_ord_5m,0.06337057054042816,6.34,68.32
ret_zscore_15m,0.038479361683130264,3.85,72.17
ret_zscore_10m,0.035512711852788925,3.55,75.72
ret_ord_10m,0.01612468995153904,1.61,77.33
vol_over_vol_60m,0.013491918332874775,1.35,78.68
vol_15m,0.010142569430172443,1.01,79.69
volume_ratio_20d,0.009642254561185837,0.96,80.65
vol_over_vol_15m,0.009529546834528446,0.95,81.6
_hour,0.006472568027675152,0.65,82.25
mass_index,0.005220775492489338,0.52,82.77
volume_momentum_20d,0.004397687967866659,0.44,83.21
volume_kurt_20d,0.004263568203896284,0.43,83.64
yz_vol_10,0.003827444976195693,0.38,84.02
volume_skew_20d,0.003677775152027607,0.37,84.39
yz_vol_20,0.003509432775899768,0.35,84.74
volume_ratio_5d,0.003168976865708828,0.32,85.06
turnover_20,0.0028922385536134243,0.29,85.35
obv_ema,0.002886049682274461,0.29,85.64
obv,0.002744650701060891,0.27,85.91
price_volume_trend,0.002725686877965927,0.27,86.18
gk_vol_10,0.002691890113055706,0.27,86.45
negative_volume_index,0.0026714245323091745,0.27,86.72
low,0.0026164930313825607,0.26,86.98
volume_volatility_20d,0.0025595217011868954,0.26,87.24
parkinson_vol_5,0.002547149546444416,0.25,87.49
_day,0.002442591357976198,0.24,87.73
vol_x_mom_20d,0.0024325333070009947,0.24,87.97
vol_60m,0.002409958280622959,0.24,88.21
rs_vol_10,0.002408746164292097,0.24,88.45
macd,0.002400303492322564,0.24,88.69
wd_2,0.002361462451517582,0.24,88.93
rs_vol_5,0.00235626264475286,0.24,89.17
keltner_upper,0.002331012161448598,0.23,89.4
returns_20d,0.0022988594137132168,0.23,89.63
rs_vol_20,0.002298342762514949,0.23,89.86
volume,0.0022977632470428944,0.23,90.09
market_facilitation_index,0.0022958575282245874,0.23,90.32
ret_15m,0.00228496384806931,0.23,90.55
volume_ema_5,0.0022625504061579704,0.23,90.78
vol_x_ret_60m,0.0022591054439544678,0.23,91.01
ret_60m,0.002248109318315983,0.22,91.23
open,0.002232528058812022,0.22,91.45
volume_quantile_20d,0.002226554322987795,0.22,91.67
volume_sma_20,0.00222585815936327,0.22,91.89
close,0.0021835120860487223,0.22,92.11
mfi_21,0.002101280726492405,0.21,92.32
vol_over_vol_5m,0.0021010260097682476,0.21,92.53
adx_14,0.002054465701803565,0.21,92.74
bb_x_vol,0.0020383012015372515,0.2,92.94
rsi_30,0.002037171507254243,0.2,93.14
adx_x_vol,0.0020132078789174557,0.2,93.34
mom_10d,0.0020118067041039467,0.2,93.54
stoch_d_14,0.0020101277623325586,0.2,93.74
ret2_15m,0.0019937176257371902,0.2,93.94
cci_14,0.001978285377845168,0.2,94.14
cmf,0.0019737854599952698,0.2,94.34
bb_width_20,0.001970315119251609,0.2,94.54
stoch_k_21,0.001958779990673065,0.2,94.74
open_vol_frac,0.0019557280465960503,0.2,94.94
momentum_x_volatility,0.0019173737382516265,0.19,95.13
macd_hist,0.0019156495109200478,0.19,95.32
vol_5m,0.0018929133657366037,0.19,95.51
macd_x_ret,0.0018767130095511675,0.19,95.7
rsi_10,0.001853585010394454,0.19,95.89
awesome_oscillator,0.001815668772906065,0.18,96.07
trade_size_vol,0.0017990486230701208,0.18,96.25
cci_10,0.0017969622276723385,0.18,96.43
mfi_14,0.0017944438150152564,0.18,96.61
cci_x_vol,0.0017939568497240543,0.18,96.79
stoch_d_5,0.0017748675309121609,0.18,96.97
vol_x_ret_5m,0.0017639941070228815,0.18,97.15
ret_oc,0.0017518701497465372,0.18,97.33
stoch_k_14,0.0017502809641882777,0.18,97.51
williams_accumulation,0.0016965706599876285,0.17,97.68
open_loc_1d,0.0016732761869207025,0.17,97.85
stoch_k_5,0.0016691003693267703,0.17,98.02
rsi_7,0.0016542249359190464,0.17,98.19
volume_momentum_5d,0.0016318870475515723,0.16,98.35
vwap_dev,0.0016118533676490188,0.16,98.51
fractal_low,0.0016001260373741388,0.16,98.67
close_loc_1d,0.0015863401349633932,0.16,98.83
turnover_5,0.0015776233049109578,0.16,98.99
williams_r_7,0.0015708284918218851,0.16,99.15
order_flow_imbalance,0.0015668239211663604,0.16,99.31
price_impact,0.001563881989568472,0.16,99.47
mom_3d,0.0014935443177819252,0.15,99.62
fractal_high,0.0014805012615397573,0.15,99.77
ease_of_movement,0.0014496209332719445,0.14,99.91
volume_price_trend,0.0013041640631854534,0.13,100.04
